center_id,day_of_week,age_group_id,program_id,in_time,out_time,before_school
2,4,3,5,null,4:30:00 PM,FALSE
2,4,3,5,null,5:00:00 PM,FALSE
2,4,3,5,null,5:30:00 PM,FALSE
2,4,3,5,null,6:00:00 PM,FALSE
2,4,3,5,7:00:00 AM,11:30:00 AM,TRUE
2,5,3,5,3:00:00 PM,null,FALSE
2,5,3,5,null,3:30:00 PM,FALSE
2,5,3,5,null,4:00:00 PM,FALSE
2,5,3,5,null,4:30:00 PM,FALSE
2,5,3,5,null,5:00:00 PM,FALSE
2,5,3,5,null,5:30:00 PM,FALSE
2,5,3,5,null,6:00:00 PM,FALSE
2,5,3,5,7:00:00 AM,11:30:00 AM,TRUE
2,1,1,6,7:00:00 AM,12:30:00 PM,FALSE
2,2,1,6,7:00:00 AM,12:30:00 PM,FALSE
2,3,1,6,7:00:00 AM,12:30:00 PM,FALSE
2,4,1,6,7:00:00 AM,12:30:00 PM,FALSE
2,5,1,6,7:00:00 AM,12:30:00 PM,FALSE
2,1,4,6,7:00:00 AM,7:30:00 AM,TRUE
2,3,4,6,7:00:00 AM,7:30:00 AM,TRUE
2,4,4,6,7:00:00 AM,7:30:00 AM,TRUE
2,5,4,6,7:00:00 AM,7:30:00 AM,TRUE
1,1,1,7,6:45:00 AM,2:00:00 PM,FALSE
1,2,1,7,6:45:00 AM,2:00:00 PM,FALSE
1,3,1,7,6:45:00 AM,2:00:00 PM,FALSE
1,4,1,7,6:45:00 AM,2:00:00 PM,FALSE
1,5,1,7,6:45:00 AM,2:00:00 PM,FALSE
1,1,2,7,6:45:00 AM,2:00:00 PM,FALSE
1,2,2,7,6:45:00 AM,2:00:00 PM,FALSE
1,3,2,7,6:45:00 AM,2:00:00 PM,FALSE
1,4,2,7,6:45:00 AM,2:00:00 PM,FALSE
1,5,2,7,6:45:00 AM,2:00:00 PM,FALSE
2,1,1,7,7:00:00 AM,2:30:00 PM,FALSE
2,2,1,7,7:00:00 AM,2:30:00 PM,FALSE
2,3,1,7,7:00:00 AM,2:30:00 PM,FALSE
2,4,1,7,7:00:00 AM,2:30:00 PM,FALSE
2,5,1,7,7:00:00 AM,2:30:00 PM,FALSE
